index,block,annotator,image_uid,file_name,scene_type,room,structure,people,orientation,activity,nature,condition,shot_type,object_tags,missing_terms,hesitation,notes
1,shared,,200af01154004118ae8397eb3fe5f15e,P7630236 (Large).jpg,,,,,,,,,,,,,
2,shared,,1fd1c1530df443739bd77707e79a9677,20121121-DSC_0811 FK.jpg,,,,,,,,,,,,,
3,shared,,158b64cf9c1d4af8ac7f72a9beb209ac,A1e9 (2).jpg,,,,,,,,,,,,,
4,shared,,ac4167003b634643be1ea978480593bb,a Cat IMG_7551.JPG,,,,,,,,,,,,,
5,shared,,b7348c63768f4e8cb698b20021024f88,Extension disappears.jpg,,,,,,,,,,,,,
6,shared,,20ec2a8d2d104c33bce489a61ee86325,Snow arrives.jpg,,,,,,,,,,,,,
7,shared,,9d09ecfe0c30413a8354de71e896b332,A1c252_10.jpg,,,,,,,,,,,,,
8,shared,,a57ec9797d13473cb798fa6cb9225bd3,Building the new bar.jpg,,,,,,,,,,,,,
9,shared,,a0489fd2af674885b9a9d653524acb71,A1b8_1.jpg,,,,,,,,,,,,,
10,shared,,b0eb77e43cdb4ccc96dd9c136f47e1b8,Port Lockroy 24th April 2020 JNH (4) (Large).jpg,,,,,,,,,,,,,
11,shared,,c54cac66f11e48a59c4976b25b78df6e,BitumenBoatShedDSC02535.JPG,,,,,,,,,,,,,
12,shared,,98bc2a1bb07d49fc97c9371231f60097,S7R08546.JPG,,,,,,,,,,,,,
13,shared,,e120afd83e3644e8b799b1374586c93a,Lounge scrubout.jpg,,,,,,,,,,,,,
14,shared,,20f8899f8e6c4e69aac46246a40fa5b1,DSC_0539.JPG,,,,,,,,,,,,,
15,shared,,a1ae2206ca65418caf6793ceaff4503f,Writing survey report.jpg,,,,,,,,,,,,,
16,shared,,b757e68e5cbc499594a29f2011cb3a0b,Port Lockroy 24th April 2020 JNH (27) (Large).jpg,,,,,,,,,,,,,
17,shared,,51e6507155304de387c549d532495897,DSC_7173.JPG,,,,,,,,,,,,,
18,shared,,7ea24f3a78604301877653deb893281b,DSC_0281.JPG,,,,,,,,,,,,,
19,shared,,129fa639dba244a7ac0190e63b09433d,repairs for sledging season.jpg,,,,,,,,,,,,,
20,shared,,8538506188b84c48a402475fa6c3e025,RRS JB unloading at Stonington.jpg,,,,,,,,,,,,,
21,shared,,16cb160c6d9c46b0ad2f0100f6243986,S7R08507.JPG,,,,,,,,,,,,,
22,shared,,b2e1a0ee2dcb4b2c99d43744da0dd24a,S7R08454.JPG,,,,,,,,,,,,,
23,shared,,66f184b666714f0b8dd3550fb858a630,A1c192.jpg,,,,,,,,,,,,,
24,shared,,9b1cdaedeb11482e8124a408796ce11c,A1b28a.jpg,,,,,,,,,,,,,
25,shared,,6981d5c60f834d68a4330ac56789fda5,CAT TOTTY Rachel P1040161.JPG,,,,,,,,,,,,,
26,shared,,9dc363e511da4f7bbf43c20b53e77811,Port Lockroy 24th April 2020 JNH (23) (Large).jpg,,,,,,,,,,,,,
27,shared,,24109e2aa1294d86bdcfbd71e463b00d,Port Lockroy 24th April 2020 JNH (20) (Large).jpg,,,,,,,,,,,,,
28,shared,,7438818de69a4acf883439ec4448af7a,A1c250_11a.jpg,,,,,,,,,,,,,
29,shared,,0c273363d58540809461bdf6135c5204,P7630276 (Large).JPG,,,,,,,,,,,,,
30,shared,,199c993db7cb47e2b88699a14cc41697,DSC_0236.JPG,,,,,,,,,,,,,
31,exclusive,,09d4c922817b4b5cb00ea8831b3f36cf,Port Lockroy 24th April 2020 JNH (18) (Large).jpg,,,,,,,,,,,,,
33,exclusive,,14ab52001c8f4461bdb93a3cd2072ec2,"Bransfield House, Kristine Hannon (1).jpg",,,,,,,,,,,,,
35,exclusive,,0bba94cf27214501948d2b6caf35a46e,DSC_0247.JPG,,,,,,,,,,,,,
37,exclusive,,f4736b6aa30e4b4e81c6137186d4596e,Port Lockroy 24th April 2020 JNH (43) (Large).jpg,,,,,,,,,,,,,
39,exclusive,,3c2734066c0343edbc45f7dc55bdf512,DSC_7165.JPG,,,,,,,,,,,,,
41,exclusive,,015997e0c07442b8a86db444a4c84a67,S7R08542.JPG,,,,,,,,,,,,,
43,exclusive,,c256fffbf5cc4488843bcfea36c0a008,DSC_0115.JPG,,,,,,,,,,,,,
45,exclusive,,c511505d73324b1d99c1e8555d577b82,Medium size female husky.jpg,,,,,,,,,,,,,
47,exclusive,,e62bf61e69224413997efe395a3f8ca3,Port Lockroy 24th April 2020 JNH (30) (Large).jpg,,,,,,,,,,,,,
49,exclusive,,a9917542a0c04462a2c7cef12e809669,DSC_7159.JPG,,,,,,,,,,,,,
51,exclusive,,700aa52c5acd40bdb972a22d43bbd586,DSC_0072.JPG,,,,,,,,,,,,,
53,exclusive,,f88ec7147fe248bfa6ad8e1959512cce,A1c16.jpg,,,,,,,,,,,,,
55,exclusive,,b506c7d0d59043399268f93ff1b06ba5,Port Lockroy 24th April 2020 JNH (22) (Large).jpg,,,,,,,,,,,,,
57,exclusive,,262599dec4564d8c815674d3d2bd925f,A1b74a.jpg,,,,,,,,,,,,,
59,exclusive,,740ac4a847c841838d25854a9496ce82,A1c166a.jpg,,,,,,,,,,,,,
61,exclusive,,60f3037e6e8e426eb773f8b8050f1e4e,A1a10b.jpg,,,,,,,,,,,,,
63,exclusive,,5b836389f6b949e2945dbcfabf6dacee,A1c57.jpg,,,,,,,,,,,,,
65,exclusive,,205d65e906924e6fa9c4e7fc283c6cb5,Port Lockroy 24th April 2020 JNH (25) (Large).jpg,,,,,,,,,,,,,
67,exclusive,,745171cf21e345babaa1e047bd7fa86a,A1b71u.jpg,,,,,,,,,,,,,
69,exclusive,,a50908d18fe940dd8ab5c5eeadd234d2,CAT TOTTY - Rachel P1040162.jpg,,,,,,,,,,,,,
71,exclusive,,6d35ad96d5ae4f21b56973f9320d772d,Port Lockroy 24th April 2020 JNH (56) (Large).jpg,,,,,,,,,,,,,
73,exclusive,,dde38f0ae5c949fe995c64d63b3437a1,Port Lockroy 24th April 2020 JNH (39) (Large).jpg,,,,,,,,,,,,,
75,exclusive,,7bf10f471a29499a9217377a55e42434,DSC_7143.JPG,,,,,,,,,,,,,
77,exclusive,,633d22d760cd41b498d04160f67fe622,A1c186.jpg,,,,,,,,,,,,,
79,exclusive,,77645f3d84d247339345ee8f162e572d,S7R08553.JPG,,,,,,,,,,,,,
