image_uid,file_name,relative_path,cluster_id,cluster_type,similarity_score,is_representative,clustered_at
b65dd1a9a780495993f20af3880341ed,P7630273 (Large).jpg,UK Antarctic Heritage Trust Data/3rdParty_A_2020_Copyright_JNH/JNH/P7630273 (Large).jpg,1,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
0a0bf0db4f2f40958f9ce96289943fcf,a Claire IMG_6340.JPG,UK Antarctic Heritage Trust Data/Various_A/a Claire IMG_6340.JPG,1,clip_embedding,92.32,False,2026-08-20T19:43:22+00:00
449c0ed1bf33459a83321a745ab8a75d,A_1_h_16(1).jpg,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(1).jpg,2,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
3611223c8f9144a8b28bc45536b62744,HY9A2343.jpg,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/HY9A2343.jpg,2,clip_embedding,100.0,False,2026-08-20T19:43:22+00:00
f1595166f7b442a39748c269d328430f,A_1_h_16(10).JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(10).JPG,3,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
e201a304e1e042cd8fbfbe8103b58972,PC130169.JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/PC130169.JPG,3,clip_embedding,100.0,False,2026-08-20T19:43:22+00:00
9fe26a7dd86d400d9808d64cfada7bd4,A_1_h_16(11).JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(11).JPG,4,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
1790cc44fc5e4970a77000c49d9ce0a1,PC130170.JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/PC130170.JPG,4,clip_embedding,100.0,False,2026-08-20T19:43:22+00:00
0673e85e756b433499c3f89643ff1cbe,A_1_h_16(12).JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(12).JPG,5,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
b628dae5c8da4f2399bb1d561cb0046e,PC130171.JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/PC130171.JPG,5,clip_embedding,100.0,False,2026-08-20T19:43:22+00:00
aef04dc327634806a92dbf780de21e2b,A_1_h_16(13).JPG,UK Antarctic Heritage Trust Data/Condition_Artefacts/Artefacts_A_1_h_16_Ionospherics/A_1_h_16/A_1_h_16(13).JPG,6,clip_embedding,100.0,True,2026-08-20T19:43:22+00:00
